,name,link_to_all_reviews,Date First Available,Is Discontinued By Manufacturer,ASIN,Neck Material Type,Color Screen,Language:,Screen Size,Display Technology,Voice Command,Speaker Count,Fill Material,Product Dimensions,Wireless Communication Technology,Computer Memory Size,Connectivity Technology,Mfr Part Number,Release date,Manufacturer recommended age,Compatible Phone Models,Specific Uses for Product,Hardware Interface,Fretboard Material,Connector Type,Number of Strings,Batteries,Guitar Pickup Configuration,Color Name,Material Composition,Color,Wattage,Proficiency Level,Size,Scale Length,Musical Style,Is Dishwasher Safe,Domestic Shipping,Rated,Hardware Platform,Guitar Pick Thickness,Brand name,Voltage,Fabric Type,Pricing,Batteries Required,Package Weight,Our Recommended age,Output Wattage,Item Weight,Phone Standy Time (with data),Special Features,National Stock Number,Back Material,Item model number,Operating System,Compatible Devices,Mfg Recommended age,Headphones Jack,Manufacturer,Department,Item Package Dimensions L x W x H,Package Dimensions,Speaker Amplification Type,Phone Talk Time,Number of Keyboard Keys,Body Material,Guitar Bridge System,Form Factor,Material Type,Frequency,Supported Software,Top Material,Other display features,Included Components,Best Sellers Rank,Warranty,International Shipping,Power Source
1971,"Bluetooth Earpiece Mpow EM16 V5.0 Mini Bluetooth Earbud Smallest Wireless Headphones w/CVC 8.0 Noise Cancelling Mic, Invisible Car Bluetooth Headset w/8 Hrs(One pcs, Two Charger), Black",https://www.amazon.com/Bluetooth-Mpow-Headphones-Cancelling-Invisible/product-reviews/B07VFC55CB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 16, 2019",,B07VFC55CB,,,,,,,,,2.99 x 2.91 x 0.98 inches,"Bluetooth, Bluetooth 5.0",,Bluetooth,,,,,,,,,,1 Unknown batteries required. (included),,,,Black,,,,,,,,,,,,,,,,,,,0.106 ounces,,"Microphone,CVC 8.0 NOISE",,,I8X-TWS,,,,,Mpow,,,,,,,,,,,,,,Wireless_display_on_website,,"#2,877 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #22 in Single Ear Bluetooth Cell Phone Headsets",,,
1972,RadiArmor Anti-Radiation Air Tube Headphones with Microphone – EMF Protection for Radiation Free Comfort (Black),https://www.amazon.com/RadiArmor-Anti-Radiation-Tube-Headphones-Microphone/product-reviews/B01CRSOPDK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 10, 2016",No,B01CRSOPDK,,,,,,,,,8 x 4 x 1 inches,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,0.8 ounces,,,,,RADI-ANTI,,,,3.5 mm,RadiArmor,,,,,,,,,,,,,,Wireless_display_on_website,,,,,
1973,Spectra SP-USB USB Transcription Headset with Volume Control,https://www.amazon.com/Spectra-SP-USB-Transcription-Headset-Control/product-reviews/B00KN5VXQM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 29, 2014",No,B00KN5VXQM,,,,,,,,,7.5 x 5.25 x 0.74 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 ounces,,,,,SP-USB,,,,,VEC,,,,,,,,,,,,,,,,#139 in Computer Headsets,,,
1974,"TREBLAB N8 – Magnetic Neckband Bluetooth Earphones | 7H Playtime, Lightweight, IPX5 | Noise Canceling Wireless Headphones w/Mic | Magnetic Bluetooth Earbuds for Running, Workout, Sports, Gym (Black)",https://www.amazon.com/TREBLAB-Bluetooth-Earphones-Lightweight-Headphones/product-reviews/B083SRWSMN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 13, 2020",,B083SRWSMN,,,,,,,,,0.7 x 0.55 x 0.55 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,0.74 ounces,,,,,,,,,,Productech,,,,,,,,,,,,,,,,"#5,178 in Earbud & In-Ear Headphones",,,
1975,"Wireless Earbuds, Conico Bluetooth Earbuds Deep Bass HiFi Stereo Sound 6H Playtime Per Charge Sweatproof in Ear Headphones with CVC 8.0 Noise Cancellation for Workout/Driving/Home Office",https://www.amazon.com/Conico-Bluetooth-Sweatproof-Headphones-Cancellation/product-reviews/B087FBW3K8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 28, 2019",,B087FBW3K8,,,,,,,,,3.94 x 3.94 x 1.85 inches,Bluetooth,,Bluetooth,,,,,,,,,,,,,,A-White,,,,,,,,,,,,,,,,,,,9.6 ounces,,"CVC 8.0 Noise Cancellation,Deep Bass Hi-Fi Stereo Sound, 6 Hours of Listening Time",,,,,,,,Conico,,,,,,,,,,,,,,Wireless_display_on_website,,#840 in Earbud & In-Ear Headphones,,,
1976,"SoundPEATS True Wireless Earbuds 5.0 Bluetooth Headphones in-Ear Stereo Wireless Earphones with Microphone Binaural Calls, One-Step Pairing, Total 35 Hours, Upgraded TrueFree Plus",https://www.amazon.com/SoundPEATS-Bluetooth-Headphones-TrueFree-Plus/product-reviews/B07QV7V1TZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 5, 2019",,B07QV7V1TZ,,,,,,,,,0.96 x 0.86 x 0.64 inches,Bluetooth,,Bluetooth,,,,,,,,,,3 Lithium Polymer batteries required. (included),,,,Black,,,,,,,,,,,,,,,,,,,3.87 ounces,,"Microphone, Wireless",,,TrueFree Plus,,,,,SoundPEATS,,,,,,,,,,,,,,Wireless_display_on_website,,#970 in Earbud & In-Ear Headphones,,,
1977,Onn ONA17AV048 10 inches Portable DVD Player w/ Headphones (Renewed),https://www.amazon.com/ONA17AV048-Portable-Headphones-Certified-Refurbished/product-reviews/B0786TVHSS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 11, 2017",,B0786TVHSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#35,402 in Electronics ( See Top 100 in Electronics ) #134 in Portable DVD Players",,,
1978,"Yeung Qee Headsets Adapter Y Splitter with Separate Headphone and Microphone Plugs 3.5mm Stereo Audio Male to Dual Female Headphone Mic Y Splitter Cable Adapter for Tablet,Laptop (3ft/1m, Black)",,"December 31, 2019",,B083BQ1YRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65 ounces,,,,,,,,,,Yeung Qee,,,8.15 x 4.49 x 0.47 inches,,,,,,,,,,,,,"#3,019 in Headphone Adapters",,,
1979,Rolls RA102 10-Channel Expandable Headphone Amplifier,https://www.amazon.com/RA102-10-Channel-Expandable-Headphone-Amplifier/product-reviews/B0026K0836/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 15, 2010",No,B0026K0836,,,,,,,,,5 x 5 x 5 inches,,,,,,,,,,,,,,,,,,,,,,,,Item can be shipped within U.S.,,,,,,,,,,,,5 pounds,,,,,RA102,,,,,,,,,,,,,,,,,,,,,#119 in Headphone Amps,,This item can be shipped to select countries outside of the U.S. Learn More,
1980,"Wireless Earbuds Bluetooth 5.0 Headphones with EQ Presets, RoomyRoc Wireless Earphones with 6D Stereo HiFi Sound and 2000mAH Charging Case, Bluetooth Headset(Black)",https://www.amazon.com/Wireless-Bluetooth-Headphones-RoomyRoc-Earphones/product-reviews/B081PTD1YV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 19, 2019",No,B081PTD1YV,,,,,,,,,3.6 x 2.1 x 1.4 inches,,,,,,,,,,,,,3 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,4 ounces,,,,,LE-702,,,,,KEDIBO,,,,,,,,,,,,,,,,"#6,331 in Earbud & In-Ear Headphones",,,
1981,"CSCT 2-in-1 Adapter, Compatible with iPhone Xs/Xs Max/XR / 11 / 11Pro 8/8 Plus/X / 7/7 Plus, Listen to Music Adapter Audio and Charge 3.5mm Splitter Converter, Support iOS13 / 12/11 (Rose Gold)",https://www.amazon.com/CSCT-Adapter-Compatible-Splitter-Converter/product-reviews/B089FBBPTJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 21, 2020",,B089FBBPTJ,,,,,,,,,3 x 1.6 x 0.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634 ounces,,,,,,,,,,CSCT,,,,,,,,,,,,,,,,"#1,028 in Headphone Adapters",,,
1982,Mokata Headphone Bluetooth Wireless Over Ear On Foldable Hi-fi Stereo Headset with AUX 3.5mm Jack Cord SD Card Slot Microphone for Young Adults Cellphone TV PC Game Rechargeable Equipment B02 Black,https://www.amazon.com/Mokata-Headphone-Bluetooth-Microphone-Rechargeable/product-reviews/B07V3SCHMC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 12, 2019",,B07V3SCHMC,,,,,,,,,,Bluetooth,,"Bluetooth, Wired",,,,,,,,,,1 Lithium ion batteries required. (included),,,,B02-Black,,,,,,,,,,,,,,,,,,,12 ounces,,"Foldable, USB connectivity, Microphone, Android, Wireless, Volume-control",,,MOKATA-B02-BLACK,,,,3.5 mm,Mokata,,,9 x 7.8 x 3.5 inches,,,,,,,,,,,Wireless_display_on_website,,"#5,013 in Over-Ear Headphones",,,
1983,"BCS-100 | Cost Effective Wireless Bluetooth Headphones, 14 Hour Battery, Sweat & Splash Resistant for Home Office, Video Conference Call (Steel Blue)",https://www.amazon.com/EXFIT-Headphones-Waterproof-Sweatproof-Compatible/product-reviews/B07JL4MLG1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 26, 2018",No,B07JL4MLG1,,,,,,,,,6.02 x 6.57 x 0.57 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,5 ounces,,,,,FBS-100,,,,,"BLUECOM CO., LTD.",,,,,,,,,,,,,,,,"#7,698 in Earbud & In-Ear Headphones",,,
1984,Bluetooth Beanie Hat Wireless Headphones Headset Music Hat Winter Knit Cap with Stereo Speakers & Microphone Unique Christmas Mic Gifts for Men/Dad/Women/Mom/Teen Boys/Girls,https://www.amazon.com/Bluetooth-Wireless-Headphones-Microphone-Christmas/product-reviews/B081H997G6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,BGJOY Music Headband Sleep Headphones Sweatband with Wireless Headphone Headset Speaker Mic Handsfree Music Call Sport Headbands Earphones Headsets for Workout Running Yoga Sleeping (White with Black),https://www.amazon.com/BGJOY-Headband-Headphones-Headphone-Black/product-reviews/B0828QDT5J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 8, 2019",No,B0828QDT5J,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,3.2 ounces,,,,,Headphone Headband Black,,,,,"Shenzhenshi chengfengzhuochuang Technology Co, Ltd",,,3.7 x 3 x 1.9 inches,,,,,,,,,,,,,"#1,225 in Over-Ear Headphones",,,
1986,"BRYWIN U-mini Bluetooth Earbuds Equiped with 365nm-Wavelength Lights, True Wireless Earbuds Waterproof IPX7 Bluetooth Earbuds Wireless Headphones Bluetooth Headphones(Magma Red)",https://www.amazon.com/BRYWIN-Bluetooth-365nm-Wavelength-Waterproof-Headphones/product-reviews/B07VMLXL6T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 25, 2019",,B07VMLXL6T,,,,,,,,,3.15 x 2.05 x 1.1 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,3.7 ounces,,,,,U-mini2(Magma Red),,,,,BRYWIN,,,,,,,,,,,,,,,,"#4,666 in Earbud & In-Ear Headphones",,,
1987,"3.5mm Aux Cable, CableCreation 6-Feet Aux Cord, 3.5mm Male to Male Stereo Audio Cable [HiFi Sound, Nylon Braided] Compatible Headphone, Smartphone, 2018 Mac Mini, Home/Car Stereo, Echo & More, 1.8M",https://www.amazon.com/CableCreation-Auxiliary-Compatible-Headphones-Smartphones/product-reviews/B01ESINRAY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 26, 2016",No,B01ESINRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704 ounces,,,,,CC0298,,,,,CableCreation,,,9.2 x 6.2 x 0.3 inches,,,,,,,,,,,,,#42 in Stereo 1/4-inch & 1/8-inch Jack Cables,,,
1988,"Wireless Earbuds, Bluetooth 5.0 Wireless Headphones with 3500mAh Charging Case LED Battery Display 60H Playtime, Smart Touch, IPX7 Waterproof Wireless Earphones in-Ear Built-in Mic Headsets for Sport",https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/product-reviews/B07WCTSDFZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 13, 2019",,B07WCTSDFZ,,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,8 ounces,,,,,S9,,,,,Gixvdcu,,,6.1 x 4.1 x 1.6 inches,,,,,,,,,,,,,"#2,293 in Earbud & In-Ear Headphones",,,
1989,PHLSHS320128 - Philips EARHOOK Headphones,https://www.amazon.com/PHILIPS-SHS320128-PHLSHS320128-Philips-HEADPHONES/product-reviews/B017X5D3XK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 21, 2011",No,B017X5D3XK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 ounces,,,,,SHS320128,,,,,Philips,,,7.01 x 3.58 x 0.98 inches,,,,,,,,,,,,,"#4,861 in Earbud & In-Ear Headphones",,,
1990,Treesine Wireless Bluetooth Cat Ear Headphones with Mic 7 Colors LED Light Flashing Glowing On-Ear Stereo Gaming Headset Compatible with Smartphones PC Tablet for Girls Kids,https://www.amazon.com/Treesine-Bluetooth-Headphones-Microphone-Smartphones/product-reviews/B07P1SR1D2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 25, 2019",,B07P1SR1D2,,,,,,,,,7.4 x 2.17 x 3.15 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,11.2 ounces,,,,,TS-ZW19,,,,,Treesine,,,,,,,,,,,,,,,,"#1,023 in On-Ear Headphones #1,784 in Over-Ear Headphones",,,
1991,"Urbanears Plattan 2 On-Ear Headphone, Indigo (04091671)",https://www.amazon.com/Urbanears-Plattan-Headphone-Indigo-04091671/product-reviews/B01M9FHTUC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 23, 2017",No,B01M9FHTUC,,,,,,,,,5.63 x 2.91 x 5.71 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8 ounces,,,,,04091671,,,,,Zound Industries,,,,,,,,,,,,,,,,#460 in On-Ear Headphones,,,
1992,"True Wireless Stereo HiFi Earbuds, VOTOMY TWS Earphones Qualcomm Bluetooth 5.0 Noise Cancelling Mic in Ear Headphone 2500mAh Power Bank LED Display IPX7 Waterproof 150H Playtime Touch Control for Gym",https://www.amazon.com/Earphones-Bluetooth-Cancelling-Headphone-Waterproof/product-reviews/B083W486LM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 15, 2020",No,B083W486LM,,,,,,,,,3.23 x 1.85 x 1.46 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,3.52 ounces,,,,,V22,,,,,VOTOMY,,,,,,,,,,,,,,,,"#1,071 in Earbud & In-Ear Headphones",,,
1993,"Headphones [3-Pack] Certified in-Ear Earbuds Earphones with Microphone Premium HD Stereo Headphones with Inline Control, Noise Isolating Earbud Headset, Corded, 3.5mm Audio Jack Devices (Black)",https://www.amazon.com/Headphones-Certified-Earphones-Microphone-Isolating/product-reviews/B07DCY69MM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 19, 2018",No,B07DCY69MM,,,,,,,,,0.2 x 0.3 x 0.2 inches,Bluetooth,,Wired,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,0.32 ounces,,"Noise-canceling, Microphone",,,4336673415,,,,3.5 mm,Certified Power Boost,,,,,,,,,,,,,,Wireless_display_on_website,,#777 in Earbud & In-Ear Headphones,,,
1994,Outdoor Tech OT1400 Privates - Wireless Bluetooth Headphones with Touch Control (Black),https://www.amazon.com/Outdoor-Tech-OT1400-Privates-Headphones/product-reviews/B00EUSMS8K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 10, 2013",No,B00EUSMS8K,,,,,,,,,6 x 2.75 x 7 inches,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,6.2 ounces,,,,,OT1400-B,,,,,The Ketchum Group DBA Outdoor Technology,Unisex,,,,,,,,,,,,,,,"#4,467 in Amazon Launchpad ( See Top 100 in Amazon Launchpad ) #150 in Amazon Launchpad Audio & TV #996 in On-Ear Headphones",,,
1995,Sony MDR-IF245RK Wireless Infrared Headphones,https://www.amazon.com/Sony-MDR-IF245RK-Wireless-Infrared-Headphones/product-reviews/B00931SHKC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 1, 2012",No,B00931SHKC,,,,,,,,,,,,,,,,,,,,,,2 AA batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,7.1 ounces,,,,,MDRIF245RK,,,,,Sony,,,13.23 x 9.06 x 4.49 inches,,,,,,,,,,,,,"#1,600 in Over-Ear Headphones",,,
1996,"BlueFire Upgraded Professional PS4 Gaming Headset 3.5mm Wired Bass Stereo Noise Isolation Gaming Headphone with Mic and LED Lights for Playstation 4, Xbox one, Laptop, PC (Light Green)",https://www.amazon.com/BlueFire-Professional-Isolation-Headphone-Playstation/product-reviews/B07K7KHND9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 24, 2018",,B07K7KHND9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#4,155 in Video Games ( See Top 100 in Video Games ) #160 in PlayStation 4 Headsets",,,
1997,"[Apple MFi Certified] iPhone AUX Cord for Car Stereo, Lightning to 3.5mm AUX Audio Cable Compatible for iPhone 11/XS/XR/X 8 7 6 5, iPad, iPod to Speaker, Home Stereo, Headphone, Support iOS 13 (White)",https://www.amazon.com/Certified-Lightning-Compatible-Speaker-Headphone/product-reviews/B088TNV3DX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"June 11, 2020",,B088TNV3DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598 ounces,,,,,,,,,,Veetone,,,6.5 x 4.25 x 0.31 inches,,,,,,,,,,,,,"#2,936 in Audio & Video Cables & Interconnects",,,
1998,"JBL Endurance Dive, Wireless MP3 in-Ear Sport Headphone with One-Button Mic/Remote - Black (Renewed)",,"April 23, 2020",No,B087KSQ9P7,,,,,,,,,3.75 x 1.97 x 6.3 inches,,,,,,,,,,,,,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,,,,,,,1.12 ounces,,,,,,,,,,JBL,,,,,,,,,,,,,,,,"#8,491 in Earbud & In-Ear Headphones",,,
1999,"Over-Ear Stereo Gaming Headphone, Megadream 3.5mm Gaming Headset Noise Cancelling with Microphone for PC Laptop Computer, Game/Office/Buiseness Call Center",https://www.amazon.com/Over-Ear-Headphone-Megadream-Cancelling-Microphone/product-reviews/B015SQRIQE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"June 17, 2016",,B015SQRIQE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#3,065 in Over-Ear Headphones",,,
2000,"Bluetooth Earbuds, Bluetoooth 5.0 Headphones Wireless Earbuds 30H Cycle Playtime in-Ear Wireless Headphones Hi-Fi Stereo Sweatproof Earphones Sport Headsets Buit-in Mic for Work/Running/Travel/Gym",https://www.amazon.com/Bluetooth-Bluetoooth-Headphones-Sweatproof-Earphones/product-reviews/B088QCBK26/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 19, 2020",,B088QCBK26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89 ounces,,,,,,,,,,Bondmax,,,4.02 x 3.39 x 1.73 inches,,,,,,,,,,,,,"#4,662 in Earbud & In-Ear Headphones",,,
2001,"Wireless Earbuds, Bluetooth 5.0 Wireless Headphones, in-Ear Sweat-Proof Stereo Wireless Earphones with Portable Charging Case, Mic",https://www.amazon.com/Wireless-Bluetooth-Headphones-Sweat-Proof-Earphones/product-reviews/B07VK5KF6Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 5, 2016",No,B07VK5KF6Y,,,,,,,,,2.36 x 1.57 x 0.39 inches,,,,,,,,,,,,,2 Lithium ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,0.16 ounces,,,,,T10 Plus,,,,,Amuoc,,,,,,,,,,,,,,,,"#2,411 in Earbud & In-Ear Headphones",,,
2002,"Upgraded, Bluetooth 5.0 Deep Bass True Wireless Earbuds Built-in Mic, Tranya T3 Sports Wireless Headphones, 6-8 Hours Continuous Playtime, 60 Hours Total Playtime with Charging Case, IPX5 Water Proof",https://www.amazon.com/Bluetooth-Wireless-Headphones-Continuous-Earphones/product-reviews/B07KW1TNSM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 26, 2018",No,B07KW1TNSM,,,,,,,,,1.02 x 0.62 x 0.58 inches,,,,,,,,,,,,,3 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,4.9 ounces,,,,,T3,,,,,Tranya,,,,,,,,,,,,,,,,#179 in Earbud & In-Ear Headphones,,,
2003,"Pop Tone Comfort Headphones with Folding Arms, Blue",https://www.amazon.com/Pop-Tone-Comfort-Headphones-Folding/product-reviews/B079YQJ7DW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,B079YQJ7DW,,,,,,,,,3.54 x 3.35 x 1.97 inches,,,,,"January 1, 2018",7 months - 8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 ounces,,,,,POPTNE-BLU,,,7 months - 8 years,,Pop Tone,,,,,,,,,,,,,,,,"#6,481 in Over-Ear Headphones",,,
2004,"Kinera YH623 Bluetooth Earphone,TWS True Wireless Earbud Wireless Charging Case for Android APTX Bluetooth 5.0 QCC3020 300H Standby Time Stereo HiFi Sound HD Call CVC8.0 in-Ear Headset Sport Headphone",https://www.amazon.com/YH623-Bluetooth-Earphone-Wireless-Headphone/product-reviews/B082DY3PJH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 18, 2019",,B082DY3PJH,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,4.8 ounces,,,,,YH623,,,,,NEX audio,,,4.5 x 4.4 x 1.9 inches,,,,,,,,,,,,,"#8,208 in Earbud & In-Ear Headphones",,,
2005,LORELEI K-30 Wired Headphones with Microphone Over Headphones Folding Lightweight Headset for Cellphones Tablets iPad Smartphones Laptop Computer PC Mp3/4 (Red),https://www.amazon.com/LORELEI-Headphones-Microphone-Lightweight-Smartphones/product-reviews/B07VTTYXGK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 31, 2019",,B07VTTYXGK,,,,,,,,,7.08 x 3.07 x 7.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2 ounces,,,,,,,,,,LORELEI,,,,,,,,,,,,,,,,"#6,256 in Over-Ear Headphones",,,
2006,"Wireless Bluetooth Headphones, Magnetic Attraction Sweatproof Earphones, in-Ear HiFi Bass Stereo Noise Cancelling Wireless Earbuds, Mini Sport Headset for Workout, Gym & Running",https://www.amazon.com/Bluetooth-Headphones-Attraction-Sweatproof-Cancelling/product-reviews/B07QNNZMRR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 15, 2019",,B07QNNZMRR,,,,,,,,,1 x 1 x 1 inches,,,,,,,,,,,,,1 AA batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,1.13 ounces,,,,,,,,,,Alfaw,Baby-boys,,,,,,,,,,,,,,,"#1,069 in Earbud & In-Ear Headphones",,,
2007,"C2G 40408 3.5mm M/F Stereo Audio Extension Cable, Black (12 feet, 3.65 Meters)",https://www.amazon.com/C2G-40408-Stereo-Extension-Meters/product-reviews/B0012MMW7E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 2, 2001",No,B0012MMW7E,,,English,,,,,,5 x 3.5 x 0.75 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08 ounces,,,,,40408,,,,,C2G,,,,,,,,,,,,,,,,#265 in Stereo 1/4-inch & 1/8-inch Jack Cables,,,
2008,"Sleep Headphones | Bluetooth 5.0 Sleeping headphones Mask, Flashmen Wireless Bluetooth Sleep Headphones Stereo Sleep Eye Mask Headphone with Speaker Mic for Sleeping Travel Audio-book Music | Washable",https://www.amazon.com/Headphones-Bluetooth-headphones-Flashmen-Audio-book/product-reviews/B07VYS3JMC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 1, 2019",,B07VYS3JMC,,,,,,,,,,,,,,,,,,,,,,1 CR5 batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,5 ounces,,,,,,,,,,Flashmen,,,8.3 x 3.5 x 1.4 inches,,,,,,,,,,,,,"#1,872 in Over-Ear Headphones #5,152 in Earbud & In-Ear Headphones",,,
2009,Audio Technica ATH-ANC700BT QuietPoint Wireless Active Noise-Cancelling,https://www.amazon.com/Audio-Technica-ATH-ANC700BT-QuietPoint-Noise-Cancelling-High-Resolution/product-reviews/B07BPFW2QD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,JBL E25BT Bluetooth in-Ear Headphones White,https://www.amazon.com/JBL-E25BT-Bluetooth-Headphones-White/product-reviews/B01N5C84AG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 28, 2017",No,B01N5C84AG,,,,,,Buttons,,,1.57 x 6.3 x 3.94 inches,Bluetooth,,Bluetooth,,,,,,,,,,1 Lithium Polymer batteries required.,,,,White,,,,,,,,,,,,,,,,,,,0.7 ounces,,Lightweight,,,E25,,,,,JBL,3,,,,,,,,,,,,,Ce_display_on_website,,"#2,983 in Earbud & In-Ear Headphones",,,
